"","OBJECTID","SiteName","Earliest","Latest","mean","max","min","sd"
"1","1","Konjevrate","Early Neolithic","Middle Neolithic",0.329046103194004,0.369396150112152,0.250202804803848,0.0214608871749374
"2","3","Cista Mala – Velištak","Late Neolithic","Late Neolithic",0.258608991513029,0.321008712053299,0.19479863345623,0.032157616902008
"3","4","Krivace","Early Neolithic","Late Neolithic",0.31079093971121,0.43739253282547,0.226165175437927,0.0473326818386844
"4","8","Islam Grcki","Early Neolithic","Late Neolithic",0.327552366070449,0.418325543403625,0.268943220376968,0.0278425691305356
"5","9","Smilcic","Early Neolithic","Late Neolithic",0.363089535618201,0.443368375301361,0.261251300573349,0.038927463757872
"6","12","Benkovac-Barice","Early Neolithic","Early Neolithic",0.385559548020363,0.663087606430054,0.246180579066277,0.0989038881528413
"7","15","Vrcelja","Early Neolithic cal BC 5540-5460 (cal 7490-7410 BP)","Early Neolithic",0.411544031182001,0.61376166343689,0.284296184778214,0.0772545537409517
"8","20","Tinj","Early Neolithic","Middle Neolithic",0.35723647290422,0.462303638458252,0.245127230882645,0.0440957316734876
"9","21","Sikovo-Koinka","Early Neolithic","Middle Neolithic",0.287537479729164,0.403270483016968,0.190529361367226,0.0546835938752568
"10","23","Nin","Early Neolithic","Late Neolithic",0.290236989001058,0.3505879342556,0.240153938531876,0.0363748244594353
"11","26","Vaganacka Pecina","Early Neolithic","Copper Age",0.334531880560375,0.415192633867264,0.240481123328209,0.0565282887126742
"12","29","Crno Vrilo","Early Neolithic","Early Neolithic",0.314854315947741,0.390588253736496,0.241634473204613,0.0278266738800545
"13","31","Danilo Bitinj","Middle Neolithic","Middle Neolithic",0.293640129019817,0.353140026330948,0.230613455176353,0.0254640005531714
"14","32","Pokrovnik","Early Neolithic","Middle Neolithic",0.342209223192185,0.407126724720001,0.294760346412659,0.0236302274058193
"15","0","Knin",NA,NA,0.310322658255182,0.383192479610443,0.278987288475037,0.0271761680014336
"16","0","Rasinovac","Early Neolithic","Early Neolithic",0.298494394868612,0.415133088827133,0.213546842336655,0.0421471999075832
