"","OBJECTID","SiteName","Earliest","Latest","mean","max","min","sd"
"1","1","Konjevrate","Early Neolithic","Middle Neolithic",0.779040231642122,0.85,0.666871795654297,0.0323494903909773
"2","3","Cista Mala – Velištak","Late Neolithic","Late Neolithic",0.749152643354281,0.85,0.654876251220703,0.0289238623225451
"3","4","Krivace","Early Neolithic","Late Neolithic",0.753901022845156,0.85,0.62849967956543,0.0360742073401184
"4","8","Islam Grcki","Early Neolithic","Late Neolithic",0.787917719511095,0.833333358764648,0.69274284362793,0.0421036900404231
"5","9","Smilcic","Early Neolithic","Late Neolithic",0.786564358013757,0.833333358764648,0.716666641235352,0.0443613751265918
"6","12","Benkovac-Barice","Early Neolithic","Early Neolithic",0.816234032840583,0.85,0.68399284362793,0.0363515415151983
"7","15","Vrcelja","Early Neolithic cal BC 5540-5460 (cal 7490-7410 BP)","Early Neolithic",0.814018978470893,0.881651763916016,0.717062225341797,0.0344562617422283
"8","20","Tinj","Early Neolithic","Middle Neolithic",0.764090268461354,0.833333358764648,0.71670166015625,0.0317913650726324
"9","21","Sikovo-Koinka","Early Neolithic","Middle Neolithic",0.789262704631447,0.833333358764648,0.716615753173828,0.0374227164784791
"10","23","Nin","Early Neolithic","Late Neolithic",0.777295502374532,0.833333358764648,0.703913269042969,0.0454550543436082
"11","26","Vaganacka Pecina","Early Neolithic","Copper Age",0.655497866116772,0.77900276184082,0.506599311828613,0.043889802076152
"12","29","Crno Vrilo","Early Neolithic","Early Neolithic",0.749183377561111,0.833333358764648,0.697155380249023,0.0322472451598935
"13","31","Danilo Bitinj","Middle Neolithic","Middle Neolithic",0.771926544454153,0.850130004882813,0.624356575012207,0.0423860082324582
"14","32","Pokrovnik","Early Neolithic","Middle Neolithic",0.777599295421414,0.816666641235352,0.672512512207031,0.0330461394756638
"15","0","Knin",NA,NA,0.796743349529847,0.859434661865234,0.613887786865234,0.0520050204803227
"16","0","Rasinovac","Early Neolithic","Early Neolithic",0.766048402228682,0.85,0.62849967956543,0.041533529505942
